Subject,Trial,Condition,Time,response,correct,angle,correct.incorrect
10,32,R3_3_4_2_0Y100.pct,4577,[n],[n],100,1
10,33,3_3_3_3_180Y50.pct,3717,[b],[b],50,1
10,34,3_3_4_2_0Y100.pct,6542,[n],[b],100,0
10,35,3_4_4_3_180Y150.pct,6042,[n],[b],150,0
10,36,R3_3_3_3_180Y0.pct,1827,[n],[n],0,1
10,37,3_4_3_3_180Y100.pct,4686,[b],[b],100,1
10,38,R3_3_3_3_180Y150.pct,5282,[b],[n],150,0
10,39,3_4_3_3_180Y0.pct,1357,[b],[b],0,1
10,40,R3_3_3_3_90Y50.pct,4601,[n],[n],50,1
10,41,2_4_4_3_90Y150.pct,3516,[b],[b],150,1
10,42,R3_4_3_3_180Y0.pct,3220,[n],[n],0,1
10,43,3_3_3_3_180Y100.pct,7454,[b],[b],100,1
10,44,R2_3_4_2_90Y150.pct,5791,[b],[n],150,0
10,45,R2_3_3_2_0Y50.pct,1692,[n],[n],50,1
10,46,R2_3_4_2_90Y100.pct,4066,[n],[n],100,1
10,47,3_4_4_3_180Y0.pct,1034,[b],[b],0,1
10,48,3_4_4_3_180Y50.pct,2836,[b],[b],50,1
10,49,R2_4_4_2_0Y100.pct,1924,[n],[n],100,1
10,50,R2_3_3_2_0Y150.pct,4835,[n],[n],150,1
10,51,3_3_4_2_0Y0.pct,932,[b],[b],0,1
10,52,R2_4_4_3_90Y0.pct,1762,[n],[n],0,1
10,53,3_4_4_3_180Y100.pct,5567,[n],[b],100,0
10,54,R2_4_4_2_180Y50.pct,1586,[n],[n],50,1
10,55,3_3_3_2_0Y150.pct,4095,[n],[b],150,0
10,56,2_4_4_2_0Y50.pct,1718,[b],[b],50,1
10,57,R2_4_4_2_0Y150.pct,2122,[n],[n],150,1
10,58,R3_4_3_2_90Y100.pct,6337,[n],[n],100,1
10,59,2_3_4_2_90Y150.pct,4381,[b],[b],150,1
10,60,3_4_3_2_90Y100.pct,6980,[n],[b],100,0
10,61,2_4_4_3_90Y0.pct,1055,[b],[b],0,1
10,62,R2_4_4_2_180Y0.pct,1632,[n],[n],0,1
10,63,R2_4_4_3_90Y50.pct,1536,[n],[n],50,1
10,64,2_4_4_3_90Y50.pct,1836,[b],[b],50,1
10,65,R2_4_4_2_180Y150.pct,2694,[n],[n],150,1
10,66,3_3_3_3_90Y0.pct,1539,[b],[b],0,1
10,67,3_3_3_3_180Y150.pct,NA,[N/A],[b],150,0
10,68,R3_3_3_3_90Y0.pct,2467,[n],[n],0,1
10,69,R3_3_3_2_0Y50.pct,3979,[n],[n],50,1
10,70,2_4_4_2_180Y50.pct,1070,[b],[b],50,1
10,71,2_4_4_2_0Y100.pct,3614,[b],[b],100,1
10,72,R3_3_3_2_0Y100.pct,6315,[n],[n],100,1
10,73,2_3_4_2_90Y100.pct,4025,[b],[b],100,1
10,74,R3_3_3_3_180Y100.pct,4201,[n],[n],100,1
10,75,3_3_3_3_90Y150.pct,5124,[b],[b],150,1
10,76,R3_3_4_2_0Y0.pct,5059,[n],[n],0,1
10,77,3_3_3_2_0Y0.pct,1253,[b],[b],0,1
10,78,3_3_3_2_0Y50.pct,3270,[b],[b],50,1
10,79,R3_3_3_3_180Y50.pct,4659,[n],[n],50,1
10,80,R3_3_3_3_90Y150.pct,4895,[b],[n],150,0
10,81,R3_4_4_3_180Y50.pct,3899,[n],[n],50,1
10,82,2_3_4_2_90Y0.pct,1436,[b],[b],0,1
10,83,R3_3_4_2_0Y150.pct,2965,[n],[n],150,1
10,84,3_3_4_2_0Y50.pct,5778,[b],[b],50,1
10,85,2_4_4_2_180Y100.pct,6069,[n],[b],100,0
10,86,R3_4_4_3_180Y0.pct,2166,[n],[n],0,1
10,87,3_4_3_3_180Y150.pct,5106,[n],[b],150,0
10,88,R3_4_4_3_180Y100.pct,4706,[n],[n],100,1
10,89,R2_3_3_2_0Y100.pct,5033,[n],[n],100,1
10,90,2_3_3_2_0Y50.pct,3481,[b],[b],50,1
10,91,2_4_4_2_0Y0.pct,929,[b],[b],0,1
10,92,3_4_3_2_90Y150.pct,5382,[b],[b],150,1
10,93,R2_4_4_3_90Y150.pct,6668,[b],[n],150,0
10,94,R3_4_3_2_90Y50.pct,2171,[n],[n],50,1
10,95,2_3_3_2_0Y100.pct,3234,[b],[b],100,1
10,96,R3_3_3_2_0Y0.pct,4008,[n],[n],0,1
11,1,R2_3_3_2_0Y0.pct,2924,[n],[n],0,1
11,2,R3_4_3_2_90Y150.pct,3631,[n],[n],150,1
11,3,2_4_4_2_0Y150.pct,2993,[b],[b],150,1
11,4,3_3_3_2_0Y100.pct,6246,[b],[b],100,1
11,5,3_3_3_3_90Y50.pct,2941,[b],[b],50,1
11,6,R2_4_4_2_0Y50.pct,2402,[n],[n],50,1
11,7,R3_3_3_3_90Y100.pct,3120,[n],[n],100,1
11,8,2_3_3_2_0Y0.pct,1363,[b],[b],0,1
11,9,R3_4_3_3_180Y150.pct,4430,[n],[n],150,1
11,10,2_4_4_2_180Y150.pct,5892,[b],[b],150,1
11,11,R3_3_4_2_0Y50.pct,4427,[n],[n],50,1
11,12,R2_3_4_2_90Y0.pct,1822,[n],[n],0,1
11,13,3_3_3_3_180Y0.pct,1334,[b],[b],0,1
11,14,R3_4_3_3_180Y100.pct,3820,[n],[n],100,1
11,15,2_4_4_3_90Y100.pct,2778,[b],[b],100,1
11,16,3_4_3_2_90Y50.pct,4176,[b],[b],50,1
11,17,R2_4_4_3_90Y100.pct,5035,[n],[n],100,1
11,18,2_3_3_2_0Y150.pct,5399,[b],[b],150,1
11,19,R2_3_4_2_90Y50.pct,2930,[n],[n],50,1
11,20,2_3_4_2_90Y50.pct,1937,[b],[b],50,1
11,21,R2_4_4_2_180Y100.pct,3236,[n],[n],100,1
11,22,R2_4_4_2_0Y0.pct,1575,[n],[n],0,1
11,23,3_4_3_2_90Y0.pct,1176,[b],[b],0,1
11,24,R3_3_3_2_0Y150.pct,5368,[n],[n],150,1
11,25,R3_4_4_3_180Y150.pct,2647,[n],[n],150,1
11,26,R3_4_3_3_180Y50.pct,5275,[n],[n],50,1
11,27,3_4_3_3_180Y50.pct,2859,[b],[b],50,1
11,28,3_3_3_3_90Y100.pct,4091,[b],[b],100,1
11,29,2_4_4_2_180Y0.pct,1345,[b],[b],0,1
11,30,R3_4_3_2_90Y0.pct,2533,[n],[n],0,1
11,31,3_3_4_2_0Y150.pct,3325,[n],[b],150,0
11,32,R3_3_4_2_0Y100.pct,5628,[n],[n],100,1
11,33,3_3_3_3_180Y50.pct,7356,[b],[b],50,1
11,34,3_3_4_2_0Y100.pct,3642,[b],[b],100,1
11,35,3_4_4_3_180Y150.pct,4797,[n],[b],150,0
11,36,R3_3_3_3_180Y0.pct,2030,[n],[n],0,1
11,37,3_4_3_3_180Y100.pct,4417,[b],[b],100,1
11,38,R3_3_3_3_180Y150.pct,3433,[n],[n],150,1
11,39,3_4_3_3_180Y0.pct,1342,[b],[b],0,1
11,40,R3_3_3_3_90Y50.pct,1270,[n],[n],50,1
11,41,2_4_4_3_90Y150.pct,6527,[b],[b],150,1
11,42,R3_4_3_3_180Y0.pct,1325,[n],[n],0,1
11,43,3_3_3_3_180Y100.pct,5396,[b],[b],100,1
11,44,R2_3_4_2_90Y150.pct,6729,[n],[n],150,1
11,45,R2_3_3_2_0Y50.pct,1616,[n],[n],50,1
11,46,R2_3_4_2_90Y100.pct,4217,[n],[n],100,1
11,47,3_4_4_3_180Y0.pct,1609,[b],[b],0,1
11,48,3_4_4_3_180Y50.pct,2639,[b],[b],50,1
11,49,R2_4_4_2_0Y100.pct,3049,[n],[n],100,1
11,50,R2_3_3_2_0Y150.pct,3681,[n],[n],150,1
11,51,3_3_4_2_0Y0.pct,2711,[b],[b],0,1
11,52,R2_4_4_3_90Y0.pct,1740,[n],[n],0,1
11,53,3_4_4_3_180Y100.pct,3372,[b],[b],100,1
11,54,R2_4_4_2_180Y50.pct,963,[n],[n],50,1
11,55,3_3_3_2_0Y150.pct,2054,[b],[b],150,1
11,56,2_4_4_2_0Y50.pct,2125,[b],[b],50,1
11,57,R2_4_4_2_0Y150.pct,1760,[n],[n],150,1
11,58,R3_4_3_2_90Y100.pct,1972,[n],[n],100,1
11,59,2_3_4_2_90Y150.pct,5673,[b],[b],150,1
11,60,3_4_3_2_90Y100.pct,NA,[N/A],[b],100,0
11,61,2_4_4_3_90Y0.pct,1703,[b],[b],0,1
11,62,R2_4_4_2_180Y0.pct,1295,[n],[n],0,1
11,63,R2_4_4_3_90Y50.pct,1086,[n],[n],50,1
11,64,2_4_4_3_90Y50.pct,2183,[b],[b],50,1
11,65,R2_4_4_2_180Y150.pct,2208,[n],[n],150,1
11,66,3_3_3_3_90Y0.pct,1347,[b],[b],0,1
11,67,3_3_3_3_180Y150.pct,5904,[b],[b],150,1
11,68,R3_3_3_3_90Y0.pct,2773,[n],[n],0,1
11,69,R3_3_3_2_0Y50.pct,1333,[n],[n],50,1
11,70,2_4_4_2_180Y50.pct,1726,[b],[b],50,1
11,71,2_4_4_2_0Y100.pct,2380,[b],[b],100,1
11,72,R3_3_3_2_0Y100.pct,5672,[n],[n],100,1
11,73,2_3_4_2_90Y100.pct,2970,[b],[b],100,1
11,74,R3_3_3_3_180Y100.pct,3307,[n],[n],100,1
11,75,3_3_3_3_90Y150.pct,6274,[n],[b],150,0
11,76,R3_3_4_2_0Y0.pct,2292,[n],[n],0,1
11,77,3_3_3_2_0Y0.pct,2073,[b],[b],0,1
11,78,3_3_3_2_0Y50.pct,1528,[b],[b],50,1
11,79,R3_3_3_3_180Y50.pct,1692,[n],[n],50,1
11,80,R3_3_3_3_90Y150.pct,6458,[n],[n],150,1
11,81,R3_4_4_3_180Y50.pct,6253,[n],[n],50,1
11,82,2_3_4_2_90Y0.pct,950,[b],[b],0,1
11,83,R3_3_4_2_0Y150.pct,2869,[n],[n],150,1
11,84,3_3_4_2_0Y50.pct,2005,[b],[b],50,1
11,85,2_4_4_2_180Y100.pct,3645,[b],[b],100,1
11,86,R3_4_4_3_180Y0.pct,2607,[n],[n],0,1
11,87,3_4_3_3_180Y150.pct,3211,[n],[b],150,0
11,88,R3_4_4_3_180Y100.pct,NA,[N/A],[n],100,0
11,89,R2_3_3_2_0Y100.pct,4031,[n],[n],100,1
11,90,2_3_3_2_0Y50.pct,1671,[b],[b],50,1
11,91,2_4_4_2_0Y0.pct,1404,[b],[b],0,1
11,92,3_4_3_2_90Y150.pct,2720,[n],[b],150,0
11,93,R2_4_4_3_90Y150.pct,2620,[n],[n],150,1
11,94,R3_4_3_2_90Y50.pct,2134,[n],[n],50,1
11,95,2_3_3_2_0Y100.pct,2399,[b],[b],100,1
11,96,R3_3_3_2_0Y0.pct,2129,[n],[n],0,1
12,1,R2_3_3_2_0Y0.pct,1818,[n],[n],0,1
12,2,R3_4_3_2_90Y150.pct,1646,[b],[n],150,0
12,3,2_4_4_2_0Y150.pct,1527,[b],[b],150,1
12,4,3_3_3_2_0Y100.pct,3133,[b],[b],100,1
12,5,3_3_3_3_90Y50.pct,2435,[b],[b],50,1
12,6,R2_4_4_2_0Y50.pct,1251,[n],[n],50,1
12,7,R3_3_3_3_90Y100.pct,2718,[b],[n],100,0
12,8,2_3_3_2_0Y0.pct,1200,[b],[b],0,1
12,9,R3_4_3_3_180Y150.pct,3312,[n],[n],150,1
12,10,2_4_4_2_180Y150.pct,4109,[b],[b],150,1
12,11,R3_3_4_2_0Y50.pct,2292,[n],[n],50,1
12,12,R2_3_4_2_90Y0.pct,1820,[n],[n],0,1
12,13,3_3_3_3_180Y0.pct,1133,[b],[b],0,1
12,14,R3_4_3_3_180Y100.pct,2347,[n],[n],100,1
12,15,2_4_4_3_90Y100.pct,2967,[b],[b],100,1
12,16,3_4_3_2_90Y50.pct,2379,[b],[b],50,1
12,17,R2_4_4_3_90Y100.pct,1921,[n],[n],100,1
12,18,2_3_3_2_0Y150.pct,1966,[b],[b],150,1
12,19,R2_3_4_2_90Y50.pct,3052,[n],[n],50,1
12,20,2_3_4_2_90Y50.pct,1372,[b],[b],50,1
12,21,R2_4_4_2_180Y100.pct,2839,[n],[n],100,1
12,22,R2_4_4_2_0Y0.pct,3238,[b],[n],0,0
12,23,3_4_3_2_90Y0.pct,1429,[b],[b],0,1
12,24,R3_3_3_2_0Y150.pct,4437,[n],[n],150,1
12,25,R3_4_4_3_180Y150.pct,2585,[n],[n],150,1
12,26,R3_4_3_3_180Y50.pct,3376,[n],[n],50,1
12,27,3_4_3_3_180Y50.pct,1669,[b],[b],50,1
12,28,3_3_3_3_90Y100.pct,3972,[b],[b],100,1
12,29,2_4_4_2_180Y0.pct,982,[b],[b],0,1
12,30,R3_4_3_2_90Y0.pct,1572,[n],[n],0,1
12,31,3_3_4_2_0Y150.pct,2311,[n],[b],150,0
12,32,R3_3_4_2_0Y100.pct,3295,[n],[n],100,1
12,33,3_3_3_3_180Y50.pct,1676,[b],[b],50,1
12,34,3_3_4_2_0Y100.pct,2236,[b],[b],100,1
12,35,3_4_4_3_180Y150.pct,2927,[n],[b],150,0
12,36,R3_3_3_3_180Y0.pct,1410,[n],[n],0,1
12,37,3_4_3_3_180Y100.pct,2582,[b],[b],100,1
12,38,R3_3_3_3_180Y150.pct,2000,[n],[n],150,1
12,39,3_4_3_3_180Y0.pct,1077,[b],[b],0,1
12,40,R3_3_3_3_90Y50.pct,1434,[n],[n],50,1
12,41,2_4_4_3_90Y150.pct,1949,[b],[b],150,1
12,42,R3_4_3_3_180Y0.pct,2353,[n],[n],0,1
12,43,3_3_3_3_180Y100.pct,3343,[b],[b],100,1
12,44,R2_3_4_2_90Y150.pct,1649,[n],[n],150,1
12,45,R2_3_3_2_0Y50.pct,1228,[n],[n],50,1
12,46,R2_3_4_2_90Y100.pct,2079,[n],[n],100,1
12,47,3_4_4_3_180Y0.pct,1283,[b],[b],0,1
12,48,3_4_4_3_180Y50.pct,3163,[b],[b],50,1
12,49,R2_4_4_2_0Y100.pct,2124,[n],[n],100,1
12,50,R2_3_3_2_0Y150.pct,3277,[n],[n],150,1
12,51,3_3_4_2_0Y0.pct,908,[b],[b],0,1
12,52,R2_4_4_3_90Y0.pct,1004,[n],[n],0,1
12,53,3_4_4_3_180Y100.pct,2104,[b],[b],100,1
12,54,R2_4_4_2_180Y50.pct,1011,[n],[n],50,1
12,55,3_3_3_2_0Y150.pct,1569,[n],[b],150,0
12,56,2_4_4_2_0Y50.pct,1258,[b],[b],50,1
12,57,R2_4_4_2_0Y150.pct,2800,[n],[n],150,1
12,58,R3_4_3_2_90Y100.pct,3494,[n],[n],100,1
